source_id,producteur,titre,url,nature,territoire,verification,limite
SRC-RSA-001,Service-Public,Dossier public RSA,https://www.service-public.fr/particuliers/vosdroits/N19775,institutionnel,national,2026-09-25,Cadre général sans validation locale
SRC-RSA-002,Légifrance,CRPA article L311-1,https://www.legifrance.gouv.fr/codes/article_lc/LEGIARTI000033218946,juridique_primaire,national,2026-09-25,Restrictions légales à vérifier
SRC-RSA-003,CNIL,Droits sur les données,https://www.cnil.fr/fr/passer-laction/les-droits-des-personnes-sur-leurs-donnees,institutionnel,national,2026-09-25,Droit d'accès distinct de la communication CRPA
SRC-RSA-004,Département de l'Ardèche,Portail institutionnel,https://www.ardeche.fr/,institutionnel,départemental,2026-09-25,Portail seul ne prouve aucune attribution
SRC-RSA-005,BOAMP,Portail des annonces,https://www.boamp.fr/,annonces_officielles,national,2026-09-25,Rechercher l'avis exact
SRC-RSA-006,data.gouv.fr,Portail open data,https://www.data.gouv.fr/,open_data,national,2026-09-25,Couverture à vérifier
SRC-RSA-007,Ambition ESS,Fiche Créagestion Pollen,https://drome-ardeche.ambition-ess.org/structures/creagestion-pollen/,annuaire_tiers,régional,2026-09-25,Publication par tiers sans valeur d'acte attributif
SRC-RSA-008,CADA,Commission d'accès aux documents administratifs,https://www.cada.fr/,institutionnel,national,2026-09-25,Autorité de recours pour la communication documentaire
SRC-SITE-001,Capévol,Site de formation,https://capevol.com/,site_autodeclaration,Ardèche,2026-09-25,Identité de marque et offre sans qualification du marché
SRC-SITE-002,Capévol,Page parcours,https://capevol.com/parcours,site_autodeclaration,Ardèche,2026-09-25,Mission depuis mars 2026 déclarée sans acte signé
SRC-SITE-003,Pollen SCOP,Mentions légales,https://pollen.coop/mentions-legales/,site_autodeclaration,Ardèche,2026-09-25,Hébergeur OVH affiché et durées déclarées
SRC-SITE-004,Pollen SCOP,Politique de confidentialité,https://pollen.coop/politique-de-confidentialite/,site_autodeclaration,Ardèche,2026-09-25,Durée 36 mois déclarée et périmètre à comparer
SRC-SITE-005,Pollen SCOP,Centre Pollen Formation,https://pollen.coop/pollen-formation/,site_autodeclaration,Ardèche,2026-09-25,Outils mutualisés annoncés sans fournisseur documenté
SRC-SITE-006,Ambition ESS,Mentions légales du portail,https://drome-ardeche.ambition-ess.org/nos-mentions-legales,site_autodeclaration,Auvergne-Rhône-Alpes,2026-09-25,o2switch annoncé pour le portail seulement
SRC-SITE-007,Ambition ESS,Annonce historique recrutement CréaGestion Pollen,https://drome-ardeche.ambition-ess.org/offres-emploi/creagestion-pollen-recrute-un%C2%B7e-charge%C2%B7e-daccompagnement-creation-dactivites-cdd-annonay-07/,annuaire_tiers,Ardèche,2026-09-25,Annonce de 2022 non probante pour un marché 2026
SRC-SITE-008,Département de l Ardèche,Programme Ambition Travail 07,https://www.ardeche.fr/mon-quotidien/insertion-professionnelle/,institutionnel,Ardèche,2026-09-25,Programme 2026-2029 non contrat spécifique
SRC-SITE-009,CNIL,Information des personnes,https://www.cnil.fr/fr/informer-les-personnes,institutionnel,national,2026-09-25,Obligations générales à appliquer aux traitements réels
SRC-SITE-010,Bercy,Mentions des sites professionnels,https://www.economie.gouv.fr/entreprises/developper-son-entreprise/innover-et-numeriser-son-entreprise/mentions-sur-votre-site-internet-les-obligations-respecter,institutionnel,national,2026-09-25,Exigences sur les informations hébergeur
SRC-SITE-011,Capévol,Politique de confidentialité,https://capevol.com/politique-confidentialite,site_autodeclaration,Ardèche,2026-09-25,Date affichée 16 mai selon Perplexity sans archive indépendante
SRC-SITE-012,Capévol,Mentions légales,https://capevol.com/mentions-legales,site_autodeclaration,Ardèche,2026-09-25,Pas de date 16 mai retrouvée selon second rapport Perplexity
SRC-SITE-013,Internet Archive,Archives Web,https://web.archive.org/,archive_publique,international,2026-09-25,Pas de capture historique exploitable retrouvée dans la recherche rapportée
SRC-SITE-014,Common Crawl,Index des archives publiques,https://index.commoncrawl.org/,archive_publique,international,2026-09-25,Échantillonnage non exhaustif et JavaScript non garanti
SRC-SITE-015,Département de l'Ardèche,Mentions légales de www.ardeche.fr,https://www.ardeche.fr/mentions-legales/,institutionnel,départemental,2026-09-25,IONOS déclaré pour portail principal seulement
SRC-SITE-016,Département de l'Ardèche,Politique de confidentialité de www.ardeche.fr,https://www.ardeche.fr/politique-de-confidentialite/,institutionnel,départemental,2026-09-25,Durées formulaires et Matomo non généralisables aux dossiers RSA
SRC-SITE-017,Département de l'Ardèche,Déclaration d'accessibilité,https://www.ardeche.fr/accessibilite/,institutionnel,départemental,2026-09-25,Auto-déclaration datée du 7 avril 2026 sans test indépendant
SRC-SITE-018,Département de l'Ardèche,Rubrique marchés publics,https://www.ardeche.fr/125-marches-publics.htm,institutionnel,départemental,2026-09-25,Point d'entrée non acte d'attribution du marché RSA visé
SRC-SITE-019,Département de l'Ardèche,Plan Ambition Travail 07 2026-2029,https://www.ardeche.fr/wp-content/uploads/2026/03/plan-ambitiontravail-07.pdf,institutionnel,départemental,2026-09-25,Programme et typologies sans acte attribuant un lot précis
